"","lav1","lav2","lav3","lav4","lav5","lav6","høj1","høj2","høj3","høj4","høj5","høj6"
"58",13,14,23,410,1293,279,14,20,74,1592,1700,2963
"59",7,13,52,375,310,1213,11,22,48,1673,6726,980
"60",10,15,40,241,413,272,16,27,64,1054,9535,2552
"61",10,21,44,718,8001,398,17,22,46,4183,306330,2358
"62",12,37,47,127,2322,233,12,25,60,2541,4327,2429
"63",8,19,27,399,83,857,14,28,48,1467,1974,1051
"64",12,14,36,1391,1040,112,17,24,50,1791,41505,2830
"65",8,15,25,331,293,1236,12,20,75,2645,888,2420
"66",12,23,40,426,276,119,15,24,68,2015,976,1145
"67",11,24,44,257,417,71,14,27,46,922,1509,471
"68",10,21,27,136,716,135,16,23,53,2333,7255,3865
"69",13,16,39,82,1060,493,14,24,55,1670,1155,1096
"70",14,16,20,1304,1017,274,19,20,54,1132,11836,1915
"71",11,22,20,88,1624,532,16,27,64,1149,10304,834
"72",9,18,48,141,384,572,15,20,60,2383,3079,2508
"73",13,18,27,631,253,351,25,24,66,2155,99192,825
"74",7,14,40,285,297,515,16,27,77,3334,2148,2781
"75",11,12,65,198,316,227,16,35,49,2445,44754,2754
"76",10,15,60,1760,1052,1310,11,30,49,2496,2426,3443
"77",12,11,46,395,1303,160,17,28,75,3079,846,3183
"78",11,12,30,208,10007,139,14,21,53,1480,1265,1710
"79",13,22,37,734,225,791,15,26,63,5614,11864,1418
"80",9,10,31,643,831,244,13,27,50,1426,12076,982
"81",7,13,27,1012,59,323,15,28,83,2632,9358,849
"82",8,17,41,92,7634,1128,14,24,62,1297,3665,2006
"83",11,13,21,249,2559,221,17,20,53,1003,11284,2113
"84",12,16,41,1487,1105,1269,12,22,44,1525,5162,4197
"85",11,11,29,100,392,93,14,37,53,1841,47821,2367
"86",13,15,33,257,586,218,15,24,49,1097,11481,2706
"87",10,16,35,572,2159,531,13,21,52,4670,6358,1275
"88",11,14,36,215,500,126,15,28,49,881,2311,846
"89",10,15,50,249,295,1972,14,27,66,1603,4208,1607
"90",8,24,75,177,437,861,13,25,68,2205,8144,2406
"91",11,14,46,196,161,230,12,22,45,1019,674,1808
"92",11,24,30,537,2305,215,19,21,73,1273,12190,1428
"93",10,26,37,494,253,436,16,23,48,506,1723,1274
"94",10,15,27,102,186,192,13,28,71,1590,2175,1359
"95",9,12,49,273,518,330,15,40,71,912,9008,591
"96",7,18,46,616,139,112,16,29,63,491,6699,1203
"97",17,17,41,828,110,521,16,26,63,1210,4002,3630
"98",7,25,65,78,446,216,16,26,55,2053,1999,1262
"99",8,15,25,139,447,515,20,24,64,2368,6614,1301
"100",11,16,43,632,210,312,15,30,64,1086,3076,1584
"101",12,19,46,268,495,119,17,31,44,1116,5000,2922
"102",12,17,72,260,4329,426,16,19,44,2721,6925,2062
"103",10,13,30,420,1422,727,12,28,54,1907,2505,810
"104",11,19,67,759,262,310,14,20,52,1751,6452,835
"105",10,14,38,387,340,1681,15,23,61,4912,2278,2092
"106",11,12,26,1200,725,1243,18,26,37,1780,47613,966
"107",13,26,37,377,165,275,14,21,68,1694,13751,2837
"108",8,19,35,163,394,101,21,21,57,1363,3807,2701
"109",9,15,44,984,1902,285,14,22,47,1749,2166,1050
"110",23,13,40,273,345,771,15,20,61,1094,5535,2312
"111",8,19,21,510,770,551,19,19,46,1304,4152,3797
"112",11,22,31,190,954,290,13,24,48,1267,7393,3377
"113",9,19,63,142,159,232,18,20,55,2939,31986,544
"114",10,15,25,181,171,618,12,24,64,1021,2132,2567
"115",10,17,35,255,265,203,15,25,87,1225,19929,2032
"116",12,16,25,234,991,555,16,18,62,1366,22661,2218
"117",9,19,31,808,120,550,16,35,59,1305,2509,1010
"118",10,18,27,430,184,2898,14,19,52,5445,5751,1386
"119",10,18,62,438,406,116,13,27,59,1124,806,1593
"120",7,14,41,474,2261,97,12,20,63,1804,1487,3540
"121",9,13,36,899,438,170,14,21,51,598,23834,1161
"122",12,12,46,1153,232,910,15,27,69,1903,7549,629
"123",14,21,30,503,93093,826,23,16,56,1033,846,603
"124",9,12,49,253,714,261,19,22,76,659,2667,1144
"125",13,17,50,123,674,196,14,20,51,667,3835,1026
"126",10,10,47,229,405,104,15,26,60,1833,25713,1997
"127",12,13,29,133,197,602,18,31,50,2966,3955,939
"128",14,15,44,513,1314,257,18,24,63,2178,5866,1366
"129",11,14,48,224,595,582,16,22,43,5007,6331,1543
"130",10,17,43,495,94,604,16,22,55,1987,3383,2112
"131",12,11,45,244,326,717,14,41,56,624,11580,3417
"132",11,26,21,478,450,107,15,26,48,1444,13184,2015
"133",14,23,48,328,580,373,13,28,67,2213,981,1711
"134",11,12,48,757,626,123,20,26,65,3983,42301,1573
"135",8,16,52,364,711,1575,14,26,55,801,2228,4713
"136",8,14,28,1880,98208,1000,11,39,57,1180,12936,3249
"137",17,16,38,829,2693,1128,11,27,49,3072,4206,2508
"138",10,23,51,125,75,645,15,22,65,1424,19234,1428
"139",12,19,38,247,582,1004,11,23,60,3512,2021,463
"140",7,22,45,2694,1216,364,14,20,75,1626,4596,1352
"141",7,12,35,193,288,182,14,25,46,1172,4573,1251
"142",12,12,48,334,549,364,12,29,52,441,3202,676
"143",12,14,21,577,451,255,13,23,65,710,1105,4014
"144",9,23,35,1085,75,140,14,28,44,1958,7162,1163
"145",13,14,34,78,315,828,13,22,67,3176,2639,1416
"146",8,24,21,1888,309,571,16,24,51,3010,2557,3365
"147",11,20,32,1733,300,652,13,30,63,1912,31395,1842
"148",9,16,45,282,167,673,15,44,44,1243,10665,2857
"149",10,18,41,555,501,518,15,30,65,2637,689,1048
"150",10,19,41,779,248,214,12,23,103,335,3707,2051
"151",11,20,30,429,105,420,11,29,49,4008,7447,1460
"152",13,12,45,340,13467,452,16,24,54,1654,1256,1901
"153",10,19,33,504,541,1324,14,21,45,1957,7665,1142
"154",11,15,39,337,1666,164,13,25,59,2218,1267,2192
"155",11,17,34,1244,293,372,22,22,40,794,1404,676
"156",14,25,27,343,188,394,13,36,53,925,3281,4186
"157",13,13,27,279,697,96,17,25,73,4130,35915,1404
"158",12,14,41,547,1779,334,15,23,61,5245,2149,3600
"159",10,14,45,413,2094,1360,14,18,69,5307,7166,1247
"160",13,22,57,178,209,420,16,23,58,830,1904,1011
"161",10,16,51,511,386,294,23,27,63,2776,4772,1169
"162",10,20,32,157,418,108,12,20,71,2187,2568,774
"163",12,17,54,885,72,190,15,34,54,1150,19962,1949
"164",7,15,49,328,753,932,15,23,49,3784,24375,841
"165",10,16,40,585,424,489,13,25,70,2661,3366,1830
"166",6,16,30,147,388,336,15,34,59,4150,35521,1165
"167",15,15,36,1045,455,108,13,23,46,2087,1711,1630
"168",11,12,32,118,155,1982,13,25,54,2584,1994,898
"169",8,18,40,366,243,265,13,24,80,937,16912,1148
"170",13,21,34,97,356,659,15,22,56,4462,3121,1517
"171",10,17,30,2174,410,129,12,20,67,1976,3315,2195
"172",10,23,44,155,670,854,15,27,56,1293,3829,1824
"173",14,15,44,758,414,1142,15,37,49,949,1849,3653
"174",9,22,35,1073,202,1575,17,18,55,2552,792,2579
"175",11,26,38,237,307,143,14,20,54,2752,7460,2294
"176",16,18,21,368,144,1730,18,22,50,1938,7616,861
"177",11,18,41,412,328,370,11,27,51,5998,5748,2346
"178",10,21,47,985,493,273,16,24,72,4445,19184,1373
"179",11,16,27,86,775,324,14,27,57,1721,2679,1809
"180",14,14,37,406,1901,234,17,27,49,2261,6436,1319
"181",11,15,31,454,2154,354,15,20,57,1041,4235,2084
"182",12,13,57,419,634,874,12,20,58,1505,48765,1342
"183",9,13,55,130,5766,156,11,26,73,4924,1618,1348
"184",12,13,42,116,790,191,13,37,58,1301,72838,2120
"185",11,14,33,624,362,121,19,26,58,756,3645,2946
"186",7,19,33,5157,3467,467,16,25,54,1763,2352,1717
"187",13,11,53,1714,1059,340,13,24,63,2883,7563,1688
"188",9,12,29,146,335,1128,17,30,86,1454,5678,2022
"189",14,23,38,332,2956,490,15,19,52,1650,6566,1962
"190",8,18,24,106,248,2119,17,30,62,4714,2661,1343
"191",11,18,56,382,217,307,13,24,57,2902,5371,1760
"192",12,11,56,138,160,732,17,28,65,2136,2616,926
"193",12,15,25,2820,167,175,18,23,64,2971,4553,3019
"194",8,16,55,1433,443,1036,10,27,69,1955,2048,1652
"195",8,12,23,347,2165,311,14,23,48,988,30306,1467
"196",9,22,28,822,78,321,16,25,57,2502,8437,1558
"197",8,17,40,148,6023,191,13,24,52,1906,1558,1402
"198",12,13,48,162,388,94,16,23,49,2811,1852,1214
"199",11,25,36,322,225,158,12,18,57,2304,1893,647
"200",12,17,29,160,996,229,12,29,82,1867,12399,1445
"201",12,14,29,179,437,637,14,26,44,700,80906,1389
"202",7,19,40,87,263,3997,13,22,71,4285,5342,5848
"203",11,13,60,523,230,95,15,18,60,2259,9527,699
"204",9,16,57,354,348,312,24,23,51,2244,3966,924
"205",8,24,29,97,58,88,17,23,59,992,1361,778
"206",8,14,64,3282,4332,386,21,28,81,2165,12702,1471
"207",9,25,45,1024,143,254,14,25,74,1512,16201,1113
"208",10,19,61,113,464,247,16,22,49,2531,23778,2177
"209",8,16,39,101,914,1636,17,28,93,793,8037,841
"210",12,20,45,356,660,259,16,25,43,1392,1838,1412
"211",11,23,51,87,909,278,12,23,62,3434,1956,744
"212",13,20,61,947,573,996,15,21,52,1410,12387,3330
"213",12,14,42,63,1913,2000,19,25,53,870,4178,2029
"214",13,28,26,325,292,827,17,30,48,1112,20184,2415
"215",12,14,26,954,437,591,15,24,54,2271,11879,4942
"216",9,12,39,153,272,142,12,23,63,1246,14536,2133
"217",14,18,36,267,126,342,16,27,57,2348,1409,3238
"218",7,17,30,105,253,137,24,20,69,824,7545,3407
"219",10,18,56,187,586,132,15,20,49,2309,1974,1339
"220",11,10,36,491,433,362,17,31,52,1607,6742,3187
"221",10,19,39,512,107,847,15,27,55,3226,6496,2159
"222",9,13,45,159,1622,146,14,27,55,1571,2334,2144
"223",9,10,52,1488,226,237,15,22,77,2964,1717,2794
"224",14,22,22,652,301,171,14,25,50,3173,3117,2858
"225",18,28,28,727,186,251,16,22,56,1961,3190,1098
"226",7,13,23,324,262,345,15,22,68,1563,1402,2148
"227",15,12,22,876,621,447,12,24,63,3303,15195,1097
"228",12,15,38,1759,438,287,16,23,66,2040,1913,1276
"229",15,18,38,278,111,2086,15,27,63,864,4296,4235
"230",9,20,39,455,4626,3296,12,27,59,1733,3527,649
"231",10,23,32,616,991,972,13,30,54,2793,1750,1032
"232",8,27,27,85,3687,403,14,21,74,1246,14064,954
"233",10,11,24,295,509,202,19,19,58,3770,1485,1012
"234",12,19,33,452,716,1090,13,27,55,1888,5749,1578
"235",13,24,37,266,624,1015,17,23,53,1055,2986,2814
"236",12,11,39,180,9166,926,14,25,49,1472,19270,2967
"237",8,28,38,947,673,465,15,19,62,1328,4126,5135
"238",9,17,37,387,99,479,11,25,72,1824,5244,3950
"239",8,14,30,925,521,1159,13,29,96,1066,2275,2857
"240",7,19,51,419,8719,2352,13,24,71,2633,1093,1065
"241",8,13,20,207,9807,125,13,23,54,1271,1453,6237
"242",9,17,31,1227,248,137,21,20,65,928,8340,1390
"243",8,14,19,386,418,51,15,25,56,2162,1315,1886
"244",13,11,37,467,366,228,14,25,45,2161,15155,1031
"245",10,16,31,142,1610,906,18,19,57,1052,13784,2406
"246",11,13,35,746,2616,228,17,24,65,1278,10644,1562
"247",11,14,41,1255,64,140,11,22,60,840,2164,1911
"248",11,15,36,198,317,200,12,28,75,3117,11073,3968
"249",9,15,62,507,160,1034,16,21,53,2665,4059,3275
"250",9,22,42,533,4558,712,15,28,86,3998,3380,1169
"251",8,12,57,1352,625,123,14,21,56,1577,3822,1544
"252",13,20,44,198,749,596,14,26,49,987,54469,1245
"253",11,15,48,1149,104,301,14,29,58,1353,2897,516
"254",12,13,25,221,429815,271,17,20,60,3354,6666,1553
"255",7,17,43,467,3220,169,13,32,68,1951,1804,702
"256",14,12,30,1505,162,1113,11,21,75,1272,26232,1698
"257",10,11,35,204,283,362,13,37,48,1633,3014,3744
"258",9,31,31,164,97,460,17,21,60,768,7316,2879
"259",9,33,51,286,193,118,12,29,60,735,1249,1728
"260",9,21,35,315,319,882,14,23,42,1110,1556,735
"261",9,11,40,847,696,161,15,21,57,2411,2764,2474
"262",13,14,50,706,418,326,16,27,51,928,12833,496
"263",9,15,55,904,556,277,13,29,59,1448,2903,2469
"264",11,11,38,740,696,555,14,22,68,1055,1095,1097
"265",16,17,31,470,118,298,19,28,51,815,4401,1082
"266",9,13,40,276,480,1170,16,22,88,3078,9039,1491
"267",10,19,46,211,258,1439,13,25,70,2398,7249,1193
"268",13,15,30,452,106,234,15,23,83,3016,6062,1280
"269",11,13,50,371,899,964,12,20,59,1924,19441,1054
"270",12,17,47,95,267,641,14,21,68,1358,14117,2683
"271",13,12,33,215,954,123,13,31,46,1285,2432,1082
"272",13,10,30,1158,2100,166,13,26,39,1377,8861,2099
"273",8,26,30,366,1811,31,14,22,69,1274,161671,2234
"274",10,16,38,171,1298,480,16,28,60,1519,8688,2775
"275",19,14,63,1434,109,495,18,26,46,2023,1502,2125
"276",11,15,32,576,225,201,15,20,52,2028,6358,1276
"277",7,17,18,126,568,182,13,23,86,1065,3917,1730
"278",11,13,40,253,677,138,14,21,51,3014,8621,1360
"279",9,16,37,256,153,273,13,23,81,1454,3448,2298
"280",11,19,42,106,190,576,11,22,48,955,1231,1954
"281",15,16,48,239,327,144,16,25,54,3256,2061,364
"282",13,15,25,1372,741,548,16,26,59,1496,26198,2226
"283",7,14,39,217,156,174,13,30,51,2092,1044,1793
"284",10,23,29,87,1996,898,16,24,44,3068,18737,579
"285",11,20,39,1098,522,202,17,20,49,1001,5484,1698
"286",8,14,47,278,2315,121,13,27,63,1331,36003,2005
"287",9,24,36,137,4645,1081,14,22,59,2949,983,3404
"288",20,17,28,501,177,288,12,23,61,1468,54338,2855
"289",9,27,30,3566,365,416,12,21,44,1596,5171,2090
"290",21,13,27,908,527,1372,19,25,47,1888,2646,1487
"291",13,29,32,993,279,1412,14,31,38,1516,17359,1296
"292",7,12,27,463,403,133,14,24,58,1820,2293,965
"293",15,24,35,123,70,1332,18,24,52,2261,17119,1849
"294",8,11,32,460,457,3763,13,20,64,1024,11019,4434
"295",9,23,38,927,789,1954,13,22,82,4767,480871,2691
"296",11,12,25,313,634,2504,20,25,50,1549,9943,2817
"297",11,16,27,207,128,189,15,22,59,3025,837,5608
"298",8,9,31,988,181,436,14,26,63,707,1535,951
"299",10,26,32,715,8009,1717,14,23,57,2053,3941,1293
"300",14,15,32,981,1979,163,12,30,55,1523,6774,2773
"301",15,15,33,239,559,307,12,27,54,2793,3738,1534
"302",10,15,36,2298,2110,557,18,23,68,5667,1460,1690
"303",10,16,43,1546,1263,254,15,26,73,1337,118258,1764
"304",19,17,44,282,494,286,17,29,70,1137,432,1544
"305",13,17,36,613,7265,1246,12,21,66,4879,19006,5177
"306",12,19,26,566,5274,249,16,23,55,1480,7936,2063
"307",11,12,22,250,1790,743,14,26,58,1842,13142,592
"308",8,16,29,369,1707,2380,15,25,57,1499,96207,1620
"309",11,14,39,353,637,2703,13,21,49,3284,1804,2654
"310",10,14,51,109,5282,225,13,25,81,1741,2225,1738
"311",7,16,47,315,415,1725,23,20,64,2462,1732,1906
"312",13,23,36,387,186,323,13,25,60,1908,2618,1513
"313",9,19,45,233,314,505,12,28,66,2290,2782,2532
"314",9,13,35,114,218,1604,15,23,61,1480,28234,1567
"315",8,20,25,1300,295,1204,15,29,72,741,2123,1663
"316",9,15,31,1152,130,467,12,20,73,814,4798,2529
"317",7,23,44,392,224,638,16,21,52,1140,1338,1281
"318",9,20,53,1634,269,2580,13,25,50,2990,11180,1509
"319",13,14,43,258,684,336,15,31,51,2070,3966,511
"320",10,12,22,129,3203,917,25,20,56,2590,3622,1196
"321",9,15,26,194,399,1576,14,22,76,721,3387,1104
"322",9,14,34,1866,351,425,14,25,53,1770,866,1264
"323",8,22,33,155,535,225,15,20,52,4547,23621,2389
"324",9,24,59,214,165,38,12,24,60,1670,4361,3790
"325",12,18,52,229,626,325,18,25,59,1986,39502,1030
"326",12,15,20,489,333,125,18,24,78,1934,3943,2060
"327",10,11,23,819,476,1530,15,21,51,3251,1023,2316
"328",8,16,34,385,347,145,14,22,64,2406,10457,1027
"329",9,16,55,109,389,256,13,26,60,1712,16097,1709
"330",13,14,59,566,512,91,14,25,61,1672,2201,2050
"331",8,16,60,174,279,370,14,32,54,2634,2524,1012
"332",10,13,24,1635,771,1344,19,24,69,3240,2738,4245
"333",8,29,40,474,374,71,15,25,56,2524,2728,1282
"334",10,13,32,788,8201,1194,12,27,44,1919,5591,2686
"335",8,28,26,417,761,173,18,21,50,2168,68726,4118
"336",8,21,31,168,242,1072,16,25,76,4613,3719,4022
"337",12,12,23,115,282,455,15,26,46,3001,35868,2010
"338",9,12,28,219,1358,967,15,22,48,1103,48702,2157
"339",12,13,28,1719,247,1015,17,22,56,3839,6877,1661
"340",9,15,51,183,773,175,12,21,66,1717,1170,1248
"341",9,24,41,130,239,635,15,24,64,700,9442,1742
"342",8,14,42,1119,2846,724,16,21,63,1936,6462,3376
"343",10,10,45,382,5030,2053,16,26,61,719,57925,1802
"344",12,19,50,334,536,369,12,23,41,2025,198656,1216
"345",10,19,50,415,2148,166,14,26,89,3766,2870,932
"346",8,16,32,1533,494,953,15,36,55,2442,1981,960
"347",7,12,30,1134,539,340,13,21,67,1127,124097,1082
"348",7,9,30,586,633,945,14,24,54,1859,1919,1195
"349",10,18,31,1251,151,677,17,22,52,2472,8518,4128
"350",8,20,50,685,142,318,13,24,60,3422,1455,430
"351",16,13,27,1819,249,169,13,23,61,1049,785,1358
"352",8,10,38,207,240,162,18,21,48,3079,9393,3738
"353",11,20,38,96,877,747,14,25,40,2038,839,1219
"354",9,14,48,2943,215,518,14,21,51,2672,7008,3175
"355",11,20,45,2042,228,571,12,36,63,683,4589,971
"356",11,14,34,316,5579,751,14,25,62,554,2046,938
"357",7,14,49,224,457,935,15,33,64,1541,3449,1226
"358",10,12,26,83,404,364,21,20,79,3255,23079,2143
"359",9,20,28,552,420,426,17,20,59,3623,1500,844
"360",9,16,49,194,585,248,12,22,52,945,15022,1562
"361",8,18,47,118,101,239,14,30,68,2366,3043,2337
"362",13,13,39,401,439,2043,13,22,54,1344,7777,3927
"363",11,12,48,562,510,359,16,29,46,1701,2356,2594
"364",10,19,31,113,949,2294,13,22,72,1570,5439,1407
"365",8,24,67,390,375,232,16,25,53,2401,3008,2109
"366",8,19,44,1450,600,350,16,22,68,3765,2448,1565
"367",8,14,32,735,81,550,12,28,35,2938,3175,2817
"368",8,15,34,271,474,371,15,25,79,2327,1742,1506
"369",12,17,27,1071,1797,510,14,29,54,2098,4544,1506
"370",9,12,31,2739,254,406,14,25,76,1778,3866,3898
"371",12,18,37,404,195,3829,15,26,53,2106,11430,1883
"372",9,16,32,1207,1507,386,17,20,72,3133,57961,938
"373",9,28,34,424,599,453,16,22,64,1761,1221,1844
"374",7,14,26,83,405,170,17,21,62,3241,1656,3685
"375",12,16,48,736,8053,791,17,27,55,3411,3092,3000
"376",11,21,23,187,334,2440,19,25,56,1273,1115,1390
"377",9,20,65,2005,1648,221,16,30,53,1353,87448,2419
"378",12,20,31,318,438,239,15,24,75,1092,43216,946
"379",10,15,23,482,188,241,12,26,60,1652,1994,973
"380",8,11,36,3858,614,234,13,24,73,2555,4207,2952
"381",7,15,34,171,673,440,14,27,99,1659,7204,789
"382",10,11,21,221,336,259,12,25,55,1711,1510,1032
"383",7,17,35,162,250,985,16,27,86,1111,2069,599
"384",9,16,25,1461,1683,2263,17,22,47,3050,5791,3969
"385",13,15,34,483,3884,152,16,21,71,1646,808,1454
"386",10,15,42,1587,167,359,12,32,75,939,114702,889
"387",12,13,35,95,309,211,11,25,60,3641,2658,1036
"388",7,18,21,595,3330,93,17,24,70,1116,10761,1084
"389",10,12,37,422,542,202,12,22,85,1875,10533,2824
"390",12,22,24,319,271,527,14,30,68,716,11424,1231
"391",10,16,33,1591,3090,237,16,29,103,1556,4412,1901
"392",15,12,40,255,1429,1256,14,23,41,2558,4404,664
"393",10,13,34,1042,349,299,13,21,62,2820,2003,1427
"394",10,14,45,276,13153,962,15,22,53,1104,1048,1591
"395",10,15,29,543,291,326,15,25,87,2534,2477,2243
"396",9,13,57,241,128,711,12,23,62,1982,1830,1365
"397",7,18,22,82,158,1631,14,21,60,6299,2391,1984
"398",9,12,40,73,4376,467,12,21,83,1439,16239,1781
"399",14,15,34,1060,112,214,14,20,68,690,4199,3798
"400",10,16,43,1296,5070,825,15,24,63,4332,12894,1896
"401",9,14,30,186,228,91,12,24,56,4302,652,1214
"402",19,14,44,465,122,1994,15,20,58,1724,12120,2372
"403",11,25,29,263,405,672,18,29,63,3349,3984,1854
"404",9,15,39,169,331,286,15,22,67,1504,795,1655
"405",9,18,40,727,248,449,14,38,71,1895,6723,3256
"406",8,13,45,1653,863,476,19,36,56,1960,4507,3207
"407",10,19,27,859,1527,201,12,26,49,1578,2450,931
"408",9,33,34,499,412,1409,11,20,57,2584,4101,2706
"409",14,22,28,468,256,1051,13,22,65,3219,2887,1682
"410",8,15,31,652,75,1827,11,25,54,2350,3165,1688
"411",9,17,45,254,2942,2735,13,30,45,2973,5472,2538
"412",11,18,44,176,464,191,12,21,40,1622,2045,1093
"413",7,19,28,196,226,1935,17,20,65,2470,2367,3335
"414",6,19,48,767,966,482,12,23,86,1769,6376,2206
"415",8,14,30,761,2106,1492,14,25,71,2625,4877,1925
"416",9,20,35,263,776,123,14,22,72,5747,10878,1231
"417",9,18,32,127,345,369,15,25,58,2924,1302,1685
"418",11,17,31,91,2347,132,14,29,56,2524,6436,1153
"419",10,12,37,390,2848,153,23,32,73,1576,17320,3358
"420",8,12,24,615,356,140,13,26,54,1265,3643,2055
"421",8,10,23,599,456,461,14,20,74,3601,2885,1119
"422",10,23,53,109,1091,275,22,23,62,1133,4366,1242
"423",11,18,56,105,629,253,13,17,59,2325,3448,2296
"424",9,14,29,342,1247,115,13,33,53,2272,10052,2112
"425",9,16,58,1200,165,138,15,23,56,1344,7186,2587
"426",14,17,29,159,2386,550,15,24,70,989,16078,1978
"427",8,18,41,833,473,1136,18,24,47,1721,5507,1856
"428",11,13,23,187,208,272,21,28,54,2105,10155,1139
"429",13,27,21,1001,681,487,12,28,43,1120,4137,1046
"430",10,14,21,190,473,194,14,22,67,2168,3779,2836
"431",13,12,59,202,296,415,13,25,40,743,2668,3849
"432",13,15,36,179,514,732,14,23,72,1677,1712,2333
"433",9,22,32,596,50992,1125,15,27,58,4297,8547,2028
"434",8,17,50,172,4355,143,18,20,65,2830,2718,1983
"435",12,22,50,139,375,346,12,23,75,2729,10084,1425
"436",15,16,56,284,2002,394,15,28,87,1561,379558,527
"437",11,17,34,130,397,393,16,24,52,2092,2639,1147
"438",11,22,27,153,3391,212,17,23,59,3543,7194,1627
"439",8,10,45,677,1475,396,14,25,56,1909,3164,1974
"440",10,16,38,120,460,222,16,22,48,3297,2536,1756
"441",10,12,39,114,597,713,17,24,53,893,6252,1690
"442",9,12,42,808,497,874,15,23,48,2437,1718,1381
"443",17,19,33,108,226,147,14,25,69,1360,4205,1241
"444",11,11,44,408,3547,959,18,27,60,1315,61108,2466
"445",8,17,31,84,668,240,14,27,43,1140,72242,2183
"446",9,14,38,1085,323,598,12,18,85,1069,1788,1844
"447",10,17,20,1417,909,245,15,26,48,1450,1539,1474
"448",11,20,29,1094,285,227,13,22,63,2571,13445,2036
"449",9,16,25,344,315,237,14,24,56,1731,19974,816
"450",10,19,47,1264,313,586,13,23,52,1630,10397,941
"451",15,19,27,4544,1211,63,15,27,47,986,993,1157
"452",14,10,27,381,115,1206,22,27,60,1639,4862,1458
"453",13,12,30,406,294,617,16,21,66,3696,7967,2279
"454",10,14,47,230,2854,122,12,23,72,1465,2782,811
"455",12,19,34,99,12662,290,15,22,45,817,20670,1836
"456",10,17,27,827,187,1377,14,25,60,589,1727,1773
"457",11,18,31,136,982,157,12,23,92,2429,18018,1106
"458",14,15,29,340,91,651,16,27,46,1989,1541,1779
