"","lav1","lav2","lav3","lav4","lav5","lav6","høj1","høj2","høj3","høj4","høj5","høj6"
"1",8,19,55,169,469,67,13,36,38,1027,14091,2403
"2",10,33,43,594,248,72,14,28,67,2131,2214,2225
"3",8,15,60,744,925,546,19,29,63,2247,8077,1718
"4",8,14,49,1777,776,75,15,21,44,1033,7993,1606
"5",9,24,32,368,1708,217,13,28,59,1565,937,1856
"6",11,14,33,200,1105,2887,14,22,55,2266,3537,1141
"7",11,15,37,1014,99,383,18,23,54,858,1059,3597
"8",10,21,28,214,571,368,16,29,51,2948,3994,781
"9",12,23,39,428,614,758,13,27,53,3694,3014,5195
"10",11,15,38,79,195,514,13,32,59,2195,5041,2240
"11",12,17,30,543,312,151,16,23,63,2872,15412,1741
"12",9,18,48,394,155,232,15,30,46,1567,9286,3648
"13",12,16,21,1117,179,344,18,23,37,1023,10974,904
"14",14,25,48,953,2692,1350,15,25,46,1370,13531,1590
"15",8,12,30,271,1048,187,12,19,53,3510,3096,2572
"16",10,14,32,118,2198,481,16,34,54,1480,2134,1962
"17",8,16,31,757,106,175,19,24,62,973,4174,2237
"18",10,15,23,341,1418,484,11,21,58,2834,3806,1710
"19",12,13,24,322,1325,630,13,32,68,2779,36238,653
"20",10,19,32,712,553,245,14,22,78,3777,12876,3482
"21",10,14,22,541,894,709,18,27,73,1606,12578,2106
"22",9,28,47,269,1538,1015,18,28,55,1385,3552,1624
"23",6,12,56,715,1789,898,20,28,61,1633,2711,767
"24",15,12,29,1480,284,376,17,25,64,1972,30885,678
"25",9,19,32,1938,1276,175,14,34,53,907,645,1498
"26",9,9,60,699,319,3200,12,23,64,1008,30737,1490
"27",9,16,45,1089,490,245,14,21,61,2145,9493,1751
"28",12,19,27,99,937,415,17,25,48,1987,7096,2082
"29",8,16,26,491,207,646,14,21,48,859,44700,871
"30",9,14,26,475,1426,668,20,21,61,787,5587,2384
"31",11,14,19,162,132,91,12,22,59,2346,2035,2618
"32",13,18,37,271,97,276,15,22,75,4097,2061,2339
"33",11,14,52,330,254,485,16,31,64,2430,8064,1608
"34",11,15,37,592,205,153,12,24,48,3006,9069,1805
"35",10,20,30,174,799,205,14,31,56,1556,22746,1893
"36",10,14,32,110,1164,330,14,25,52,1300,11860,1720
"37",13,15,42,1657,280,862,13,27,73,1975,4753,1960
"38",17,16,34,625,471,187,14,40,84,2915,57978,2771
"39",12,20,27,996,397,442,15,24,64,1476,3468,607
"40",10,23,41,331,462,96,14,24,111,1495,3084,1558
"41",9,28,44,2182,490,139,14,21,44,2158,2364,4319
"42",8,14,30,280,1189,258,13,29,65,1560,15624,2415
"43",12,14,34,898,1102,497,17,22,41,886,25275,2231
"44",8,12,25,1180,370,197,13,21,50,3956,6667,1271
"45",8,22,32,2093,2795,210,14,23,60,1994,6413,4033
"46",11,17,27,703,14085,285,21,18,74,1415,1905,1192
"47",12,21,48,309,97,898,17,23,68,526,132559,2308
"48",7,11,65,795,114,2251,14,22,61,1363,5205,1686
"49",10,23,22,909,94,1038,12,27,54,1040,5702,1683
"50",15,13,32,267,97,330,15,30,47,1277,13042,3025
"51",15,15,38,292,265,275,13,17,53,4446,1800,874
"52",8,18,47,1831,275,317,12,23,56,1978,38953,1189
"53",9,18,24,118,751,60,15,25,51,2234,56327,2492
"54",8,17,41,130,395,287,18,28,60,897,3602,1499
"55",8,17,40,519,144,259,15,29,69,2688,971,3434
"56",8,13,31,383,13700,1207,12,37,48,1400,39051,2185
"57",11,15,30,128,6435,726,16,21,50,2335,6116,1338
