"","lav1","lav2","lav3","lav4","lav5","lav6","høj1","høj2","høj3","høj4","høj5","høj6"
"105",15,19,67,1525,270,436,13,34,61,2495,8457,1742
"106",9,14,27,802,956,442,14,35,59,4147,3233,1621
"107",18,18,25,622,90,392,20,21,79,1705,6309,1014
"108",10,16,20,1248,214,972,12,21,61,1088,4529,3149
"109",11,15,38,303,125,756,14,24,55,4121,1935,2469
"110",12,16,35,805,401,188,13,19,54,3484,7330,1626
"111",16,20,42,249,74,197,14,28,75,1535,1146,3518
"112",13,19,59,1756,1286,225,12,26,68,1354,1003,1908
"113",10,11,34,601,4140,1267,15,23,47,3927,1997,4858
"114",8,13,24,166,385,355,15,20,53,2706,3900,2568
"115",13,16,52,302,508,215,17,29,37,2426,9072,1161
"116",9,16,31,74,556,136,12,27,60,1917,3794,2363
"117",12,19,33,810,280,1377,17,22,48,1445,10824,3813
"118",10,12,46,231,484,2687,19,26,59,1372,2113,1946
"119",11,30,44,2173,300,636,15,25,59,2679,6026,918
"120",13,18,27,402,78,201,15,26,65,4134,6858,467
"121",11,21,32,179,182,272,11,21,54,1734,9449,1195
"122",10,18,51,286,568,496,13,22,51,1494,19295,2787
"123",7,15,27,197,187,2034,14,20,51,1795,3867,1714
"124",11,14,48,1503,264,126,20,21,53,3584,7347,819
"125",13,21,33,639,474,425,15,28,42,2909,9432,3822
"126",8,19,36,834,2205,3061,13,24,54,3174,3460,1732
"127",11,14,28,527,111,324,19,38,63,2073,130778,1633
"128",10,16,46,188,586,351,20,47,65,1743,1683,1624
"129",8,16,42,311,241,376,13,27,73,5828,2175,1044
"130",7,11,44,586,158,790,14,27,64,4673,26990,729
"131",16,15,21,306,267,243,23,24,53,2641,1227,1181
"132",10,11,21,229,17016,263,14,33,45,2150,3485,2696
"133",9,18,25,294,142,280,12,22,53,628,3173,2091
"134",9,15,41,696,64,443,17,24,72,1560,5693,784
"135",17,19,30,258,365,363,21,34,54,2293,51801,1068
"136",8,15,44,414,21781,1463,12,36,61,1443,5964,2030
"137",9,12,31,212,787,387,15,20,63,4161,3934,1294
"138",11,14,34,88,627,151,12,26,45,2141,3124,2462
"139",10,31,56,135,121,359,24,23,53,2233,1017,1390
"140",8,22,23,72,242,2853,14,30,65,2843,18396,2657
"141",8,16,53,40,332,632,15,38,52,1367,8909,2513
"142",7,17,31,1311,1037,208,18,25,70,698,61132,1494
"143",13,11,49,198,614,335,17,25,71,1314,1289,2486
"144",10,14,38,193,187,362,14,22,43,1326,2923,2732
"145",9,17,80,310,270,345,11,28,44,1374,187914,2813
"146",8,13,22,243,736,341,17,23,57,1484,4588,742
"147",7,13,45,401,604,706,11,24,103,1081,35331,990
"148",8,25,33,82,590,774,13,26,61,1273,2178,887
"149",13,12,52,130,419,363,17,32,75,834,8478,1275
"150",15,17,51,625,346,170,16,29,65,876,1758,2737
"151",9,16,38,1127,136,225,14,30,43,1316,5822,2584
"152",9,16,48,167,150,551,16,22,62,2980,707,1028
"153",14,22,31,1049,425,982,16,19,53,1032,3167,1426
"154",7,17,55,426,1063,76,14,24,58,728,3465,3662
"155",18,14,54,145,195,594,22,22,54,1408,14860,3246
"156",9,19,17,123,1192,412,14,26,60,712,1423,2779
"157",12,19,99,289,838,367,13,21,74,1783,11855,1005
"158",10,14,34,119,282,70,16,25,55,1126,1618,750
"159",12,27,27,459,4759,447,16,21,68,1261,1320,1034
"160",10,15,30,375,2507,1009,12,22,53,2021,10953,791
"161",15,11,54,362,166,117,15,19,58,3849,37020,4980
"162",8,10,32,1126,73,164,16,21,40,1323,3496,2133
"163",10,16,68,257,771,115,15,21,46,1345,1602,1437
"164",9,19,44,278,263,1944,12,31,63,2776,4118,1786
"165",14,16,18,200,781,1759,15,21,67,2753,4239,718
"166",11,16,29,1481,139,264,14,21,67,916,6904,698
"167",6,10,29,997,261,355,14,24,68,2723,31165,1703
"168",17,18,49,248,68,1244,17,21,69,3060,2809,2666
"169",12,13,46,586,1791,271,15,19,60,1288,3509,1578
"170",21,21,53,396,366,245,15,33,56,1716,38028,4295
"171",10,21,33,419,224,307,18,27,62,2529,2645,3580
"172",10,14,33,282,425,342,15,22,66,334,7660,4501
"173",7,10,28,404,4768,1734,13,26,54,2695,8884,1734
"174",10,10,36,195,10749,139,14,23,82,826,9324,1447
"175",14,14,49,314,369,119,15,22,49,1595,25551,2644
"176",8,16,32,1158,189,465,22,24,55,2710,2146,1137
"177",8,14,39,200,872,1173,13,25,71,735,2868,1645
"178",9,15,45,286,718,196,20,31,46,664,1074,878
"179",10,22,55,1239,543,243,14,26,52,4633,1281,900
"180",11,12,18,256,151,135,14,27,63,3454,8678,799
"181",14,22,49,360,211,2355,14,24,68,1987,13037,1720
"182",9,16,27,189,229,2294,16,33,56,1077,6307,1740
"183",10,16,44,431,16221,2414,12,26,69,2570,3827,643
"184",10,14,30,351,170,163,15,19,66,2530,3330,2178
"185",8,11,51,161,437,661,10,25,56,2939,1448,1107
"186",8,20,79,336,224,105,24,21,69,1642,10615,1768
"187",12,14,44,294,487,490,19,18,58,1695,19838,5483
"188",14,17,49,323,2220,515,20,25,64,1309,58425,2063
"189",7,28,60,915,2453,217,16,35,57,1377,5776,1255
"190",13,16,37,657,142,198,13,25,53,1925,12131,1080
"191",10,19,52,218,2005,2042,17,25,75,1581,1508,2253
"192",9,22,32,708,132,102,13,25,57,1862,3808,949
"193",8,18,30,335,508,272,17,17,48,1352,2075,3609
"194",12,14,44,5171,777,1206,13,26,42,2067,3176,2099
"195",9,15,34,1298,1698,103,14,22,49,1686,5938,5986
"196",12,17,42,520,3936,1213,17,25,48,2729,1158,1233
"197",16,12,19,667,1014,117,15,23,55,3730,2351,686
"198",6,25,35,67,2189,43,18,19,51,735,43960,2814
"199",10,11,72,821,581,1947,12,35,67,1169,7987,2320
"200",16,17,52,462,339,66,19,27,53,394,665,2446
"201",13,17,45,99,10320,414,15,25,55,1253,8354,1050
"202",11,16,40,134,341,5017,13,25,76,1840,2811,976
"203",7,26,22,197,183,389,13,22,51,2643,2640,1485
"204",12,18,34,778,400,270,13,20,79,2485,2276,1415
"205",11,11,51,213,2259,1598,13,28,52,807,28199,1975
"206",8,16,46,933,693,1111,12,25,63,1367,2714,2727
